PageID,Length(ms),F_TotalFixationLength(ms),F_FixatoinTimePercentage,FilteredFixationNumbers,F_FixationAvgDuration(ms),F_MeanTimetoFixation(ms),F_DiversityofFixations
1_1,350415,119922,0.34222850049227344,246,487.4878048780488,1424.4512195121952,402.73064995614175
1_2,127020,49127,0.3867658636435207,113,434.75221238938053,1124.070796460177,347.24760034078895
1_3,524623,178958,0.34111733568676933,417,429.15587529976017,1258.0887290167866,389.23813312729214
1_4,108674,33067,0.30427701198078655,78,423.93589743589746,1393.2564102564102,335.15820878372614
1_5,472754,179166,0.3789835728518426,423,423.56028368794324,1117.6217494089835,419.24472660432355
1_6,106313,37892,0.35641925258435,88,430.59090909090907,1208.1022727272727,230.6448945528969
1_7,136825,58154,0.42502466654485654,104,559.1730769230769,1315.625,257.5552700785487
1_8,114274,36148,0.316327423560915,60,602.4666666666667,1904.5666666666666,223.551356896261
1_9,96015,23497,0.24472217882622507,37,635.0540540540541,2595.0,184.16448221484475
1_10,506078,185549,0.36664111065883126,452,410.5066371681416,1119.641592920354,335.72833412661527
1_11,107403,37109,0.34551176410342355,85,436.5764705882353,1263.5647058823529,296.09903173240326
1_12,450558,138736,0.3079204009250751,339,409.2507374631268,1329.0796460176991,393.54175062088905
2_1,368685,120925,0.32799001857954624,222,544.7072072072073,1660.7432432432433,604.9868652198087
2_2,246844,89984,0.3645379267877688,163,552.0490797546013,1514.3803680981596,556.9053296231415
2_3,680438,266205,0.391225945640896,635,419.2204724409449,1071.555905511811,474.63835151379897
2_4,661863,217710,0.32893514216688347,390,558.2307692307693,1697.0846153846153,461.9655749836217
2_5,220275,86660,0.3934173192600159,199,435.47738693467335,1106.9095477386934,374.88039243894843
2_6,825630,346163,0.4192713443067718,817,423.7001223990208,1010.563035495716,484.0150690780625
2_7,142216,45337,0.31878972830061314,78,581.2435897435897,1823.2820512820513,468.2995254855047
2_8,483905,176190,0.3641003916057904,410,429.7317073170732,1180.2560975609756,470.70584886156763
2_9,142976,53142,0.37168475828111014,123,432.0487804878049,1162.4065040650407,503.40070965390754
2_10,616833,256732,0.4162098979788695,514,499.47859922178986,1200.0642023346304,309.9695069226109
3_1,325888,101197,0.3105269294972506,150,674.6466666666666,2172.5866666666666,514.6734737044611
3_2,569769,227206,0.3987686237756003,394,576.6649746192893,1446.1142131979695,329.332504799076
3_3,140947,44893,0.31850979446174804,86,522.0116279069767,1638.9186046511627,470.17563555291093
3_4,840144,308905,0.3676810165876326,572,540.0437062937064,1468.7832167832169,315.9258058447997
3_5,112025,43183,0.3854764561481812,95,454.5578947368421,1179.2105263157894,453.1808169815531
3_6,300182,106579,0.35504793758453207,161,661.9813664596273,1864.4844720496894,461.0416816283761
