PageID,Length(ms),F_TotalFixationLength(ms),F_FixatoinTimePercentage,FilteredFixationNumbers,F_FixationAvgDuration(ms),F_MeanTimetoFixation(ms),F_DiversityofFixations
1_1,350415,89769,0.25617910192200677,203,442.2118226600985,1726.1822660098521,315.49781244585336
1_2,127020,45637,0.35928987561014014,105,434.6380952380952,1209.7142857142858,297.8151223024252
1_3,524623,166332,0.3170505296184117,397,418.97229219143577,1321.4685138539044,364.3206304132725
1_4,108674,31334,0.28833023538288827,74,423.43243243243245,1468.5675675675675,298.77422572848945
1_5,472754,165340,0.3497379186638294,400,413.35,1181.885,391.7218552397196
1_6,106313,36192,0.3404287340212392,85,425.78823529411767,1250.7411764705882,202.43472119531776
1_7,136825,53601,0.3917485839576101,99,541.4242424242424,1382.0707070707072,221.8660479870199
1_8,114274,34172,0.2990356511542433,56,610.2142857142857,2040.607142857143,173.0767962923889
1_9,96015,22354,0.23281778888715304,35,638.6857142857143,2743.285714285714,141.49981530499133
1_10,506078,180817,0.3572907733590474,441,410.015873015873,1147.5691609977325,320.62970478055854
1_11,107403,35387,0.3294786924015158,82,431.5487804878049,1309.7926829268292,267.81340395214124
1_12,450558,135494,0.30072487892790717,331,409.34743202416917,1361.202416918429,378.59160512792243
2_1,368685,88892,0.24110555080895615,180,493.84444444444443,2048.25,492.2806019276664
2_2,246844,73928,0.29949279707021437,139,531.8561151079136,1775.8561151079136,481.24018874548676
2_3,680438,255589,0.3756242302752051,615,415.59186991869916,1106.4032520325204,456.6206023900582
2_4,661863,203505,0.3074729966775602,368,553.0027173913044,1798.5407608695652,425.57532054071874
2_5,220275,80372,0.36487118374758826,187,429.7967914438503,1177.9411764705883,325.6848568113192
2_6,825630,334116,0.40468006249772903,795,420.27169811320755,1038.5283018867924,468.0211758400099
2_7,142216,39619,0.2785832817685774,69,574.1884057971015,2061.1014492753625,360.6938803935798
2_8,483905,168611,0.34843822651140205,393,429.0356234096692,1231.3104325699746,443.6088533251867
2_9,142976,47166,0.329887533572068,111,424.9189189189189,1288.0720720720722,422.60253403216194
2_10,616833,250271,0.40573542595807943,504,496.56944444444446,1223.875,288.7337190901537
3_1,325888,72690,0.2230520915161037,118,616.0169491525423,2761.762711864407,344.92137072617675
3_2,569769,210729,0.36984988653296336,371,568.0026954177897,1535.7654986522912,265.31705840646725
3_3,140947,39995,0.28375914350784337,80,499.9375,1761.8375,414.028011129866
3_4,840144,298196,0.35493439219943246,556,536.3237410071943,1511.0503597122301,285.2617099846806
3_5,112025,39565,0.3531800937290783,90,439.6111111111111,1244.7222222222222,421.4514958595505
3_6,300182,90949,0.3029795257543757,140,649.6357142857142,2144.157142857143,407.9758450881515
3_7,409388,147441,0.3601497845564599,257,573.7003891050583,1592.9494163424124,460.93726367383476
3_8,112337,35275,0.31401052191174766,75,470.3333333333333,1497.8266666666666,439.3788340099361
3_9,353505,128121,0.3624305172486952,265,483.4754716981132,1333.9811320754718,473.6726141412587
3_10,311506,124911,0.4009906711267199,226,552.7035398230089,1378.345132743363,377.6197188732142
4_1,331719,44660,0.13463202288684098,44,1015.0,7539.068181818182,321.2230892424779
4_2,425256,160396,0.3771751603739865,235,682.5361702127659,1809.6,223.38774252916141
4_3,201812,75297,0.37310467167462785,147,512.2244897959183,1372.8707482993198,230.5136605125067
4_4,595739,226730,0.38058612916058876,381,595.0918635170603,1563.6194225721786,223.74629253279718
4_5,190475,92147,0.48377477359233495,191,482.4450261780105,997.2513089005236,305.13617097986634
