PageID,Length(ms),F_TotalFixationLength(ms),F_FixatoinTimePercentage,FilteredFixationNumbers,F_FixationAvgDuration(ms),F_MeanTimetoFixation(ms),F_DiversityofFixations
1_1,350415,94280,0.26905240928613217,224,420.89285714285717,1564.3526785714287,317.55137090821137
1_2,127020,48874,0.38477405133049913,114,428.719298245614,1114.2105263157894,299.9722949065626
1_3,524623,170129,0.3242881078412498,403,422.1563275434243,1301.7940446650125,363.39884439262585
1_4,108674,34758,0.3198373115924692,83,418.7710843373494,1309.3253012048192,291.23249454119747
1_5,472754,167997,0.35535817782609985,409,410.7506112469438,1155.877750611247,388.27452768044026
1_6,106313,39219,0.3689012632509665,93,421.7096774193548,1143.1505376344087,196.8115397271424
1_7,136825,62042,0.4534405262196236,128,484.703125,1068.9453125,216.93775226180526
1_8,114274,47052,0.4117472040884191,99,475.27272727272725,1154.2828282828282,212.22906957854516
1_9,96015,38809,0.4041972608446597,80,485.1125,1200.1875,213.82227622468343
1_10,506078,185542,0.3666272787989203,449,413.2338530066815,1127.1224944320713,319.6126689020853
1_11,107403,42539,0.39606901110769716,94,452.5425531914894,1142.5851063829787,275.29910973423466
1_12,450558,138408,0.3071924147390569,338,409.49112426035504,1333.0118343195265,377.4620263188455
2_1,368685,107281,0.29098281731016995,242,443.3099173553719,1523.4917355371902,471.07776956168004
2_2,246844,98684,0.39978285880961256,216,456.8703703703704,1142.7962962962963,478.04674141019984
2_3,680438,259261,0.38102075427886156,626,414.1549520766773,1086.961661341853,456.7132440587673
2_4,661863,278625,0.4209708051364104,623,447.23113964686996,1062.3804173354736,419.6627932546426
2_5,220275,89918,0.4082079219157871,203,442.9458128078818,1085.0985221674878,327.30963218360677
2_6,825630,336769,0.40789336627787265,800,420.96125,1032.0375,467.91378879685044
2_7,142216,54703,0.3846472970692468,117,467.54700854700855,1215.5213675213674,370.00286558163856
2_8,483905,178174,0.3682003699073165,423,421.21513002364065,1143.983451536643,442.39322837663457
2_9,142976,49828,0.3485060429722471,121,411.801652892562,1181.6198347107438,415.1200702538435
2_10,616833,266378,0.43184784212258426,556,479.09712230215825,1109.4118705035971,293.4235793591477
3_1,325888,107245,0.32908545267085626,229,468.31877729257644,1423.0917030567687,348.98782623514404
3_2,569769,240229,0.42162525514726146,474,506.8122362869198,1202.0443037974683,271.0047161699974
3_3,140947,50616,0.35911370940850107,110,460.1454545454545,1281.3363636363636,381.8165153450217
3_4,840144,348643,0.41498005103886954,733,475.63847203274213,1146.1718963165074,279.22304803122574
3_5,112025,42124,0.37602320910511045,99,425.4949494949495,1131.5656565656566,428.43749402139014
3_6,300182,126692,0.42205062262227583,255,496.8313725490196,1177.1843137254903,425.48047825295976
3_7,409388,177848,0.43442406714412735,368,483.2826086956522,1112.4673913043478,458.83423314982394
3_8,112337,39958,0.35569758850601313,86,464.6279069767442,1306.2441860465117,452.90082950832164
3_9,353505,139579,0.3948430715265696,304,459.14144736842104,1162.845394736842,472.72231369645857
3_10,311506,141208,0.45330748043376373,282,500.73758865248226,1104.6312056737588,369.93582460845516
4_1,331719,106109,0.319876160244062,198,535.9040404040404,1675.3484848484848,321.10534707458476
4_2,425256,208675,0.4907044227477096,387,539.2118863049095,1098.8527131782946,219.41514012308306
4_3,201812,88108,0.43658454403107844,191,461.29842931937173,1056.607329842932,234.74023090451877
4_4,595739,286832,0.48147259118506597,562,510.37722419928826,1060.0338078291816,220.15772364859916
4_5,190475,96873,0.5085864286651791,207,467.9855072463768,920.1690821256038,310.6887794420921
4_6,311766,154754,0.4963786942771181,296,522.8175675675676,1053.2635135135135,213.39681712911073
4_7,379579,179086,0.471801653937652,338,529.8402366863905,1123.0147928994083,214.33284064347987
4_8,318648,111032,0.3484471893751098,226,491.2920353982301,1409.9469026548672,260.9074827479178
4_9,111743,44635,0.39944336557994686,96,464.9479166666667,1163.9895833333333,318.20281155896123
4_10,487301,223470,0.45858719764580824,463,482.65658747300216,1052.4859611231102,364.71770914547477
5_1,326901,90522,0.2769095230666165,198,457.1818181818182,1651.0151515151515,484.6423010243669
5_2,126125,42170,0.33435084241823587,104,405.4807692307692,1212.7403846153845,378.6170085351664
5_3,242068,109981,0.4543392765669151,236,466.021186440678,1025.7118644067796,338.18376876490123
5_4,110995,45939,0.4138835082661381,108,425.3611111111111,1027.7314814814815,342.6049651115249
5_5,472909,204959,0.43340050622847104,437,469.0137299771167,1082.1716247139589,235.56305383108167
5_6,95666,43172,0.451278406121297,85,507.90588235294115,1125.4823529411765,203.07097912733616
5_7,431011,204548,0.4745772149666714,418,489.3492822966507,1031.1267942583731,309.31806835489834
5_8,160670,66745,0.41541669259973857,164,406.9817073170732,979.6951219512196,347.7338838183634
6_1,230279,64657,0.28077679684209156,139,465.158273381295,1656.68345323741,352.78513581045013
6_2,288224,140839,0.48864424891750863,301,467.90365448504986,957.5548172757475,381.2548058968004
6_3,1156720,731881,0.6327209696382876,1231,594.5418359057677,939.6588139723801,194.856942946514
6_4,152613,74077,0.4853911527851494,151,490.57615894039736,1010.682119205298,247.94189546228287
6_5,1032272,667308,0.6464458979803772,1029,648.5014577259475,1003.1797862001944,187.92097164251663
6_6,96035,52901,0.5508512521476545,98,539.8061224489796,979.9489795918367,209.4511642927934
6_7,318097,196608,0.6180756184434307,338,581.6804733727811,941.1153846153846,181.73468806207694
6_8,88914,42310,0.47585307150729916,87,486.32183908045977,1022.0,172.5832848674517
6_9,900864,552702,0.6135243499573743,879,628.7849829351536,1024.8737201365188,172.56198335249854
6_10,83078,30729,0.3698813163533065,66,465.59090909090907,1258.7575757575758,169.91233848609448
6_11,771978,456387,0.5911917178986966,707,645.5261669024045,1091.906647807638,215.53681705696363
6_12,331239,133198,0.4021205232475644,251,530.6693227091633,1319.6772908366534,311.8541378573115
