PageID,Length(ms),TotalFixationLength(ms),FixatoinTimePercentage,FixationNumbers,FilteredFixationNumbers,FixationAvgDuration(ms),MeanTimetoFixation(ms),DiversityofFixations,DiversityofWeightedFixations
1_1,350415,126802,0.3618623631979225,270,270,469.63703703703703,1297.8333333333333,401.8403682716823,430.90442198796285
1_2,127020,52364,0.4122500393638797,122,122,429.21311475409834,1041.1475409836066,345.6107023576856,347.77198892504845
1_3,524623,182755,0.3483549139096075,423,423,432.0449172576832,1240.2434988179668,388.00868078843376,391.91830632312053
1_4,108674,36491,0.33578408819036754,87,87,419.4367816091954,1249.1264367816093,324.16563602041765,326.075164821016
1_5,472754,181823,0.384603832014113,432,432,420.8865740740741,1094.337962962963,415.41546537919146,418.0341089016113
1_6,106313,40919,0.3848917818140773,96,96,426.2395833333333,1107.4270833333333,222.8599351959711,226.94766779428295
1_7,136825,67068,0.4901735793897314,135,135,496.8,1013.5185185185185,254.98905328550734,282.04596707276824
1_8,114274,49210,0.43063163974307367,104,104,473.1730769230769,1098.7884615384614,246.87627664823842,244.8418111277778
1_9,96015,40991,0.4269228766338593,85,85,482.2470588235294,1129.5882352941176,256.05982076733704,256.63788387505105
1_10,506078,190274,0.37597761609870417,460,460,413.6391304347826,1100.1695652173912,334.47126686164574,334.5817652078818
1_11,107403,44261,0.4121020828096049,97,97,456.29896907216494,1107.2474226804125,299.9101663181303,295.9692938340838
1_12,450558,141650,0.31438793673622484,346,346,409.39306358381504,1302.1907514450868,392.1520157441879,392.2045774327758
2_1,368685,140092,0.37997748755712873,289,289,484.74740484429066,1275.726643598616,571.5032550326083,587.9352246000657
2_2,246844,117922,0.47771872113561603,246,246,479.3577235772358,1003.430894308943,540.1357698193656,545.5196898063322
2_3,680438,269877,0.3966224696445525,646,646,417.76625386996903,1053.3095975232197,474.4359241102292,474.522967492094
2_4,661863,294016,0.44422486224490565,649,649,453.0292758089368,1019.8197226502311,445.84174466710135,445.7593190562389
2_5,220275,96321,0.4372761321075928,216,216,445.93055555555554,1019.7916666666666,375.8549900383197,379.9189169820332
2_6,825630,349019,0.42273052093552804,823,823,424.0814094775213,1003.1956257594168,484.5574054072514,484.30095371693614
2_7,142216,60421,0.42485374360128253,126,126,479.531746031746,1128.6984126984128,436.1894860720916,432.3337226827016
2_8,483905,186004,0.38438123185335965,441,441,421.77777777777777,1097.2902494331065,469.31344351890925,468.7299755980264
2_9,142976,55804,0.39030326768128915,133,133,419.57894736842104,1075.0075187969924,490.535549098415,494.9535786484576
2_10,616833,273093,0.4427340949657363,567,567,481.64550264550263,1087.888888888889,314.48341080350366,313.9993544514883
3_1,325888,137082,0.4206414473684211,266,266,515.3458646616541,1225.142857142857,458.98207641614835,486.8079840889042
3_2,569769,257229,0.4514619082470264,499,499,515.4889779559119,1141.8216432865731,325.4712172440822,326.84691729430557
3_3,140947,56023,0.39747564687435705,118,118,474.771186440678,1194.4661016949153,438.20115093259636,439.5564152145428
3_4,840144,360711,0.42934425527052505,755,755,477.76291390728477,1112.773509933775,311.1693392113115,310.7977229927936
3_5,112025,45955,0.4102209328274939,106,106,433.5377358490566,1056.8396226415093,468.3788076991442,467.7829117655168
3_6,300182,144441,0.48117808529492107,285,285,506.81052631578945,1053.2701754385964,466.60960531634544,470.5574927526887
3_7,409388,206728,0.5049683918434346,413,413,500.5520581113801,991.2542372881356,497.52956044887674,495.2958935677093
3_8,112337,45768,0.4074169685855951,95,95,481.7684210526316,1182.4947368421053,515.7234297714463,516.137570467528
3_9,353505,164338,0.46488168484179854,353,353,465.5467422096317,1001.4305949008499,517.7377034222862,516.7210490383126
3_10,311506,151275,0.48562467496613226,305,305,495.9836065573771,1021.3311475409836,405.8715665448413,403.11032269996616
4_1,331719,144057,0.4342741899016939,261,261,551.9425287356322,1270.9540229885058,431.8287305109536,439.86517041032204
4_2,425256,221571,0.5210296856481743,413,413,536.4915254237288,1029.675544794189,270.45760924451963,266.5942382288051
4_3,201812,100132,0.49616474738865873,207,207,483.7294685990338,974.9371980676328,287.6996173141799,293.5804514613958
4_4,595739,300148,0.503824661470879,584,584,513.9520547945206,1020.1010273972603,251.16129846369066,251.35590008436768
